"stg","mean"
1,-1.374719244447
2,-2.45881429944234
3,-1.16810809183763
4,-0.514069285393377
5,0.109081282312384
6,1.05152728997349
7,1.06830498307596
8,-0.980427134590704
9,-0.0804763450314178
10,1.03772400244798
11,1.9585923102706
12,1.20019842575923
13,0.0313131887624704
14,-0.802913037499451
15,-0.973835711403093
16,0.141668709376125
17,0.677071599304169
18,0.375637172833601
19,0.779718566015864
20,2.94253890231093
21,0.965017668092533
22,1.96818371360096
23,1.70768590172741
24,3.08921043841594
25,2.29050468422696
26,0.758761615934066
27,3.64288053714902
28,3.03496307707587
29,1.82221080702005
30,1.6811665146992
31,1.54605930469339
32,1.85161857348157
33,2.11499739554647
34,2.19163559740838
35,1.85877757689842
36,2.41237797238341
37,1.44534558327967
38,0.914523525801473
39,1.38723733689612
40,2.07660586935869
41,2.75110578800693
42,3.298119103035
43,4.89482444447484
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,6.80029179421224
52,-0.0668948400956502
53,0.0555143408159716
54,1.94296372260384
55,2.70386494348466
56,2.80431153442532
57,1.68804871686216
58,3.19979061987737
59,0.616348633995019
60,0.986919744184372
61,2.84548326263037
62,2.17098683157701
63,0.668631457491396
64,0.156691149481046
65,0.491860292292798
66,1.21667557664474
67,2.91074752744548
68,2.73078588500166
69,1.5480219053271
70,1.26413882498511
71,1.68315849136715
72,1.30586500878664
73,2.08868975792114
74,2.06720158228914
75,1.8888593693584
76,1.99204277567692
77,2.38203521947881
78,2.25345741895529
79,2.49411512172405
80,2.29460199901907
81,1.47035601805203
82,1.45553401199991
83,2.24718359379264
84,0.284836325681504
85,0.66489322804864
86,1.12475694194051
87,1.03054855211292
88,0.912174801408482
89,0.757791171625478
90,0.83787138620214
91,1.48884165533441
92,0.90731813229336
93,0.613972667309167
94,0.315154879566894
95,0.755093049535126
